화장실 어디예요?	卫生间 在 哪里？?
기차역은 어디에요?	火车站 在 哪里？?
버스 터미널은 어디에 있습니까?	公交车站 在 哪里？?
공항은 어디에 있습니까?	机场 在 哪里？?
버스 정류장은 어디에요?	公交车站 在 哪里？?
지하철역은 어디에 있습니까?	地铁站 在 哪里？?
지하철역은 어디에요?	地铁站 在 哪里？?
택시 승강장은 어디에 있습니까?	出租车 停靠 处在 哪里？?
호텔은 어디에 있습니까?	酒店 在 哪里？?
호스텔 어디예요?	旅馆 在 哪里？?
수신은 어디에 있습니까?	您 收件箱 在 哪里？?
전시는 어디에 있습니까?	展览 在 哪里？?
정보 데스크는 어디에 있습니까?	信息 台 在 哪里？?
관광 안내 센터는 어디에 있습니까?	旅游 咨询中心 在 哪里？?
대사관은 어디에 있습니까?	大使馆 在 哪里？?
영사관은 어디에 있습니까?	领事馆 在 哪里？?
경찰서 어디예요?	警察局 在 哪里？?
병원은 어디에 있습니까?	医院 在 哪里？?
약국은 어디에 있습니까?	药店 在 哪里？?
치과는 어디에 있습니까?	牙科医院 在 哪里？?
의사는 어디에 계십니까?	医生 在 哪里 呢？?
도서관은 어디에 있습니까?	图书馆 在 哪里？?
박물관은 어디에 있습니까?	博物馆 在 哪里？?
미술관은 어디에 있습니까?	美术馆 在 哪里？?
극장은 어디에 있습니까?	电影院 在 哪里？?
영화관은 어디에요?	电影院 在 哪里？?
공원은 어디에 있습니까?	公园 在 哪里？?
놀이터 어디예요?	游乐场 在 哪里？?
경기장은 어디에 있습니까?	球场 在 哪里？?
해변은 어디에 있습니까?	海边 在 哪里？?
은행은 어디에 있습니까?	银行 在 哪里？?
ATM은 어디에 있습니까?	自动 取款机 在 哪里？?
슈퍼마켓 어디예요?	超市 在 哪里？?
편의점은 어디에 있습니까?	便利店 在 哪里？?
빵집은 어디에요?	面包店 在 哪里？?
정육점은 어디에 있습니까?	请问 肉店 在 哪里？?
시장은 어디에요?	市场 在 哪里？?
쇼핑몰 어디예요?	购物中心 在 哪里？?
Kaufmannshaus ist wo?	商铺 在 哪里？?
우체국은 어디에 있습니까?	邮局 在 哪里？?
시청은 어디에 있습니까?	市政厅 在 哪里？?
법원은 어디에 있습니까?	法庭 在 哪里？?
대학교는 어디에 있습니까?	大学 在 哪里？?
학교는 어디에요?	学校 在 哪里？?
수업실은 어디에 있습니까?	教室 在 哪里？?
식당은 어디에 있습니까?	餐厅 在 哪里？?
레스토랑은 어디에 있습니까?	餐厅 在 哪里？?
카페 어디예요?	咖啡店 在 哪儿？?
술집은 어디에요?	酒馆 在 哪里？?
주차장은 어디에 있습니까?	停车场 在 哪里？?
주유소는 어디에 있습니까?	加油站 在 哪里？?
충전소는 어디에 있습니까?	充电站 在 哪里？?
자동차 대여는 어디에 있습니까?	汽车 租赁 在 哪里？?
입구는 어디에요?	请问 入口 在 哪里？?
출구는 어디에요?	出口 在 哪里？?
엘리베이터는 어디에 있습니까?	电梯 在 哪里？?
어디에 계단이 있습니까?	哪里 有 楼梯？?
에스컬레이터는 어디에 있습니까?	电梯 在 哪里？?
표 판매소는 어디에 있습니까?	请问 书店 在 哪里？?
탑승 게이트는 어디에 있습니까?	登机口 在 哪里？?
짐 찾는 곳은 어디입니까?	请问 行李 在 哪里？?
세관은 어디에 있습니까?	海关 在 哪里？?
이민 사무실은 어디에 있습니까?	移民 事务处 在 哪里？?
로커는 어디에 있습니까?	Locker 在 哪里？?
놀이공원은 어디에 있습니까?	游乐园 在 哪里？?
성당은 어디에 있습니까?	教堂 在 哪里？?
안전검사대는 어디에 있습니까?	安全检查 台 在 哪里？?
약국 카운터는 어디에 있습니까?	药店 柜台 在 哪里？?
빨래는 어디에 있습니까?	请问 衣服 在 哪里？?
수족관은 어디에 있습니까?	水族馆 在 哪里？?
좌 Baggage 사무실은 어디에 있습니까?	行李 办事处 在 哪里？?
동물원은 어디에 있습니까?	动物园 在 哪里？?
교회는 어디에 있습니까?	教堂 在 哪里？?
전망대는 어디에 있습니까?	瞭望台 在 哪里？?
회당은 어디에 있습니까?	会议室 在 哪里？?
모스크는 어디에 있습니까?	博物馆 在 哪里？?
회의 장소는 어디입니까?	会议 地点 在 哪里？?
강은 어디에 있습니까?	河流 在 哪里？?
다리 어디예요?	腿 在 哪里？?
미용실은 어디에 있습니까?	美发店 在 哪里？?
캠핑장은 어디에 있습니까?	营地 在 哪里？?
理容실은 어디에 있습니까?	理发店 在 哪里？?
사찰은 어디에 있습니까?	寺庙 在 哪里？?
스파는 어디에 있습니까?	水疗 馆 在 哪里？?
헬스장은 어디에요?	健身房 在 哪里？?
